X_DT,M_Paid_Views,M_Organic_Views,M_Google_Impressions,M_Email_Impressions,M_Facebook_Impressions,M_Affiliate_Impressions,M_Overall_Views,O_Sales,D_Thanksgiving,D_CyberMonday,D_ValentinesDay,D_PresidentsDay,D_BackToSchoolSale,D_LaborDay,D_YomKippur,D_ColumbusDay,D_Halloween,D_VeteransDay,D_Christmas,D_NewYearsDay,EC_CPI,EC_RTL_SALES
9/22/2018,12060,14415,27978993,17277124.41,9947745,406074,13680,4098781,0,0,0,0,0,0,0,0,0,0,0,0,246.565,1318259
9/29/2018,14401,14090,34337285,15243613.26,9442418,522964,12160,4600940,0,0,0,0,0,0,0,0,0,0,0,0,246.565,1318259
10/6/2018,10722,43923,31990295,14000655.49,4201999,452248,43258,5119805,0,0,0,0,0,0,0,1,0,0,0,0,247.038,1324329
10/13/2018,12780,85208,26810215,13875988.95,5167704,454367,88755,5327457,0,0,0,0,0,0,0,0,0,0,0,0,247.038,1324329
10/20/2018,13809,89845,35847817,13653610.06,4715851,440241,90526,6124038,0,0,0,0,0,0,0,0,0,0,0,0,247.038,1324329
10/27/2018,12821,88134,32656380,14446375.21,4955452,389361,93098,5392331,0,0,0,0,0,0,0,0,1,0,0,0,247.038,1324329
11/3/2018,12506,98002,32234879,14164034.91,7396430,416059,97366,6657735,0,0,0,0,0,0,0,0,0,0,0,0,245.933,1324329
11/10/2018,11095,249426,56332084,29391605.06,9662537,428842,249740,9643465,0,0,0,0,0,0,0,0,0,1,0,0,245.933,1324329
11/17/2018,13233,189384,85378103,28862557.27,13644521,340795,189206,10944850,1,0,0,0,0,0,0,0,0,0,0,0,245.933,1324329
11/24/2018,42856,114393,95220534,29366595.15,29781772,428157,145239,18129236,0,1,0,0,0,0,0,0,0,0,0,0,245.933,1324329
12/1/2018,78468,81303,62667162,36300626.46,5596880,460587,145731,13526095,0,0,0,0,0,0,0,0,0,0,0,0,244.786,1324329
12/8/2018,897488,97389,30288108,22457084.97,3061383,437375,984044,9781598,0,0,0,0,0,0,0,0,0,0,0,0,244.786,1324329
12/15/2018,775518,148743,23157595,18645380.8,6096208,326328,909850,10202445,0,0,0,0,0,0,0,0,0,0,0,0,244.786,1324329
12/22/2018,389042,150974,20276645,18192882.96,2491716,340600,528705,6029603,0,0,0,0,0,0,0,0,0,0,1,0,244.786,1324329
12/29/2018,372876,140454,21070786,25637602.31,1779774,466049,494028,3196344,0,0,0,0,0,0,0,0,0,0,0,1,244.786,1324329
1/5/2019,258367,140633,19370101,25599950.5,744342,502059,384226,3663126,0,0,0,0,0,0,0,0,0,0,0,0,245.133,1323291
1/12/2019,399357,131853,18078223,19190333.93,1721089,748949,518337,2938084,0,0,0,0,0,0,0,0,0,0,0,0,245.133,1323291
1/19/2019,426372,103835,19268467,24084167.94,3733488,805978,515584,3768467,0,0,0,0,0,0,0,0,0,0,0,0,245.133,1323291
1/26/2019,428242,134109,18891345,19609647.08,12500534,954580,546491,3464430,0,0,0,0,0,0,0,0,0,0,0,0,245.133,1323291
2/2/2019,272868,103184,21548218,18855095.05,9216324,850224,365641,3600591,0,0,0,0,0,0,0,0,0,0,0,0,246.218,1323291
2/9/2019,355215,112385,18025822,18939762.22,5047124,806669,457592,3315464,0,0,1,0,0,0,0,0,0,0,0,0,246.218,1323291
